,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20
Location:,N/A,,N/A,,"Sharurah, Najran Province, Saudi Arabia",,"Rafha Gov., Northern Borders, Saudi Arabia",,"Wadi Al-Maleh,  Deir ez-Zor Governorate, Syria",,"Central Anatolia Region, Turkey",,N/A,,"Kyiv region, Ukraine",,"Vilniaus apskritis, Lietuva",,N/A,,N/A,,"Shinile,Somali",,"Zoba Anseba, Eritrea Eritrea",,"New Valley, Egypt",,Egypt,,"Matrouh, Egypt",,N/A,,N/A,," Campodimele, Latina, Lazio, Italia",,"Lambertino, Montalcino, Siena, Toscana, Italia",
,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude
,51.61941667,-7.7675,51.31444444,-0.923416667,47.82983333,18.54913889,44.09508333,28.84644444,41.11686111,34.86441667,37.97794444,40.05911111,35.40230556,43.72663889,29.866,50.39191667,25.72522222,54.62938889,21.11202778,58.84411111,47.16977778,-1.109444444,41.91536111,9.767805556,38.10116667,16.26358333,31.34733333,25.13097222,28.69025,28.03991667,25.54236111,31.19719444,23.36883333,33.22980556,18.49561111,37.45055556,13.51597222,41.41041667,11.42213889,42.99933333
year,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm,Magnetic Intensity/µT,Avg Precipitation/mm
2012,60.98256492,0.35,61.24940522,0.075,60.44661438,1.4,59.22594109,0,58.72082622,0.675,57.14809441,0.325,57.05367999,0,53.76488028,0.0625,50.00805535,0,47.41526567,0,59.87905743,0.2625,58.00321451,0.35,56.26352461,0.2625,51.20350113,0,50.42409633,0,47.93686741,0,46.35365289,0,42.81777327,0,38.53842987,0,36.54790672,0
2013,60.95208887,1.15,61.21879583,0.0625,60.41640618,0.6625,59.19634292,0,58.69148048,0,57.11953464,0.625,57.02516741,1.4875,53.73801127,0,49.98306381,0,47.39156988,0,59.84913287,0.125,57.9742274,0,56.23540691,0,51.17791217,0.025,50.39889688,0,47.91291096,0,46.33048764,0,42.79637509,0.025,38.51917028,0,36.5296419,0
2014,60.92162806,0.05,61.18820173,0.1125,60.38621307,0.125,59.16675954,0,58.66214941,0.0875,57.09098915,0.0625,56.99666907,0,53.7111557,0,49.95808477,0,47.36788594,0,59.81922326,0.0875,57.94525477,0,56.20730326,0,51.152336,0,50.37371003,0,47.88896648,0.1625,46.30733398,0.05,42.77498759,0,38.49992032,0,36.5113862,0
2015,60.89118247,0.4,61.15762291,0.05,60.35603506,0.025,59.13719094,0.0375,58.63283299,0,57.06245792,0,56.96818498,0.025,53.68431354,1.3625,49.93311821,0,47.34421383,0,59.78932859,0,57.91629662,0,56.17921365,0,51.12677262,0,50.34853576,0,47.86503396,0,46.28419188,0,42.75361079,0,38.48067998,0,36.49313963,0
2016,60.86075209,0,61.12705938,0,60.32587212,0.075,59.10763712,0.25,58.60353123,0.5625,57.03394095,1.625,56.93971512,0.175,53.6574848,0,49.90816413,0,47.32055355,0,59.75944887,0.25,57.88735295,0,56.15113808,0.4,51.10122201,0,50.32337407,0,47.8411134,0,46.26106135,0,42.73224466,0,38.46144926,0.025,36.47490218,0
2017,60.83033692,0.025,61.09651113,0.025,60.29572426,0.15,59.07809807,1.1,58.57424411,0.3375,57.00543823,2.175,56.91125949,0.075,53.63066946,2.725,49.88322252,0,47.2969051,0,59.72958408,5.325,57.85842373,0.0625,56.12307654,0.075,51.07568417,0,50.29822496,0,47.8172048,0,46.23794238,0,42.71088922,0,38.44222814,0,36.45667385,0.9
