,location,latitude,longitude
0,"Location at:-7.7675,51.619416666666666",51.619416666666666,-7.7675
1,"Location at:-0.9234166666666667,51.31444444444444",51.31444444444444,-0.9234166666666667
2,"محافظة شروره, منطقة نجران, السعودية",47.82983333333333,18.54913888888889
3,"محافظة رفحاء, منطقة الحدود الشمالية, السعودية",44.095083333333335,28.846444444444444
4,"وادي المالح, ناحية هجين, منطقة البوكمال, محافظة دير الزور, سوريا",41.11686111111111,34.86441666666667
5,"Suşehri, Sivas, İç Anadolu Bölgesi, Türkiye",37.97794444444445,40.05911111111111
6,"Location at:43.72663888888889,35.40230555555556",35.40230555555556,43.72663888888889
7,"Людвинівка, Макарівська селищна громада, Бучанський район, Київська область, 08045, Україна",29.866,50.39191666666667
8,"12, Šiulgų g., Šiulgos, Kalvelių seniūnija, Vilniaus rajono savivaldybė, Vilniaus apskritis, 13168, Lietuva",25.72522222222222,54.62938888888889
9,"Location at:58.84411111111111,21.11202777777778",21.11202777777778,58.84411111111111
10,"Location at:-1.1094444444444445,47.169777777777774",47.169777777777774,-1.1094444444444445
11,"Shinile, ሶማሌ ክልል / Somali, ኢትዮጵያ",41.91536111111111,9.767805555555556
12,"ዞባ ዓንሰባ Anseba عنسبا, ኤርትራ Eritrea إرتريا",38.10116666666667,16.263583333333333
13,"الوادي الجديد, مصر",31.34733333333333,25.130972222222223
14,مصر,28.69025,28.039916666666667
15,"مطروح, مصر",25.542361111111113,31.197194444444445
16,"Location at:33.22980555555556,23.368833333333335",23.368833333333335,33.22980555555556
17,"Location at:37.45055555555556,18.495611111111113",18.495611111111113,37.45055555555556
18,"Via Civita Farnese, Taverna, Campodimele, Latina, Lazio, Italia",13.515972222222222,41.41041666666666
19,"Strada Comunale di Argiano, Lambertino, Montalcino, Siena, Toscana, Italia",11.422138888888888,42.99933333333333
