,year,0: Magnetic Intensity/µT,0: Avg Temperature/C,1: Magnetic Intensity/µT,1: Avg Temperature/C,2: Magnetic Intensity/µT,2: Avg Temperature/C,3: Magnetic Intensity/µT,3: Avg Temperature/C,4: Magnetic Intensity/µT,4: Avg Temperature/C,5: Magnetic Intensity/µT,5: Avg Temperature/C,6: Magnetic Intensity/µT,6: Avg Temperature/C,7: Magnetic Intensity/µT,7: Avg Temperature/C,8: Magnetic Intensity/µT,8: Avg Temperature/C,9: Magnetic Intensity/µT,9: Avg Temperature/C,10: Magnetic Intensity/µT,10: Avg Temperature/C,11: Magnetic Intensity/µT,11: Avg Temperature/C,12: Magnetic Intensity/µT,12: Avg Temperature/C,13: Magnetic Intensity/µT,13: Avg Temperature/C,14: Magnetic Intensity/µT,14: Avg Temperature/C,15: Magnetic Intensity/µT,15: Avg Temperature/C,16: Magnetic Intensity/µT,16: Avg Temperature/C,17: Magnetic Intensity/µT,17: Avg Temperature/C,18: Magnetic Intensity/µT,18: Avg Temperature/C,19: Magnetic Intensity/µT,19: Avg Temperature/C
0,2012,60.98256491902613,10,61.2494052247166,10,60.44661438370109,13,59.22594108882473,22,58.72082622496405,16,57.148094409731975,19,57.05367999117709,30,53.76488028023726,29,50.00805534531136,30,47.41526566591994,29,59.87905743397357,14,58.003214511206785,17,56.26352461327339,18,51.203501128659525,23,50.42409633254995,27,47.93686741378011,31,46.35365288802686,33,42.81777327323611,31,38.53842986862939,32,36.54790671853084,30
1,2013,60.95208887458884,11,61.218795826803195,17,60.416406180610785,20,59.19634291736605,20,58.69148048472169,19,57.11953464241077,24,57.025167407473354,29,53.738011274599955,25,49.98306381340466,27,47.391569880979446,33,59.8491328675398,17,57.97422739750803,17,56.23540690981848,18,51.17791217257324,26,50.3988968841079,29,47.912910958300955,32,46.33048764420476,34,42.796375085693256,31,38.51917028348765,33,36.529641897582046,32
2,2014,60.92162806055856,11,61.188201725940225,13,60.38621307407375,18,59.16675953759725,14,58.66214941001668,11,57.09098914783685,25,56.99666907293689,35,53.71115569675158,29,49.95808477101915,29,47.36788593801044,29,59.819223255911844,15,57.94525477012297,19,56.207303258189384,18,51.15233600457095,20,50.37371002909335,24,47.88896647506343,28,46.30733397721615,34,42.77498759189731,32,38.49992032332598,33,36.511386204479805,30
3,2015,60.8911824693239,10,61.157622914482985,12,60.35603505654548,19,59.13719094212619,20,58.63283299351992,17,57.06245791887741,20,56.968184980446665,30,53.684313539981595,25,49.9331182119132,31,47.34421383109489,30,59.789328591616034,14,57.916296621812066,20,56.1792136513637,23,51.12677261826182,25,50.348535761212744,27,47.86503395808438,30,46.28419188127552,32,42.753610786504055,32,38.48067998333431,32,36.49313963466248,31
4,2016,60.86075209327726,11,61.12705938479059,17,60.325872120485236,18,59.10763712356441,16,58.60353122790597,11,57.03394094840321,18,56.939715122885225,28,53.6574847975828,31,49.908164129848274,30,47.32055355431773,29,59.75944886718244,17,57.887352945339394,16,56.15113808232254,17,51.10122200725819,20,50.32337407417565,24,47.84111340138369,27,46.261061350600215,30,42.73224466417197,33,38.46144925870496,32,36.47490218357069,32
5,2017,60.83033692481486,11,61.09651112922598,12,60.29572425835606,17,59.07809807452715,16,58.57424410585304,19,57.00543822928857,20,56.91125949313866,29,53.63066946285138,26,49.88322251858898,32,47.29690510176685,30,59.72958407514487,14,57.858423733472655,18,56.12307654405051,19,51.0756841651756,26,50.29822496169481,27,47.81720479898419,29,46.23794237941051,30,42.71088921956219,30,38.442228144632644,32,36.45667384664737,31
6,2018,60.79993695633669,13,61.065978140155906,21,60.26559146262475,20,59.04857378763333,22,58.54497162004302,16,56.976949754411365,23,56.88281808409661,30,53.603867529086834,27,49.85829337190303,29,47.273268467533086,32,59.69973420804085,21,57.829508978983164,17,56.095029029535745,18,51.050159085632785,22,50.273088417486065,26,47.793308144911734,39,46.21483496192955,42,42.68954444733852,34,38.423016636314486,33,36.4384546193377,31
7,2019,60.76955218024656,9,61.03546040995093,9,60.235473725761864,6,59.019064255505576,18,58.51571376316144,20,56.94847551665304,20,56.85439088865229,27,53.57707898959204,27,49.83337668356125,28,47.24964364571023,31,59.66989925841165,11,57.800608674645844,14,56.06699553176986,14,51.024646762251656,21,50.24796443526843,32,47.769423433195136,39,46.19173909238336,39,42.668210342167434,31,38.40381472895001,32,36.42024449708915,31
8,2020,60.73918258895209,10,61.004957930985434,12,60.205371040241744,13,58.98956947077019,15,58.486470527897495,14,56.920015508898594,20,56.82597789970244,33,53.550303837673205,28,49.80847244733758,27,47.22603063039503,29,59.64007921880224,18,57.77172281323922,18,56.03897604374799,21,50.999147188657325,19,50.22285300876405,24,47.745550657866204,30,46.16865476500086,32,42.64688689871807,32,38.38462241774114,31,36.402043475351476,31
9,2021,60.70882817486466,8,60.97447069563761,7,60.175283398542476,14,58.960089426057166,14,58.45724190694402,14,56.89156972403658,23,56.79757911014736,34,53.523542066639884,27,49.783580657009075,28,47.202429415687185,28,59.61027408176136,10,57.74285138754545,18,56.01097055846875,20,50.973660358478085,24,50.1977541316982,37,47.721689812959724,38,46.14558197401385,37,42.62557411166224,30,38.36543969789219,30,36.38385154957669,30
