,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20
Location:,N/A,,N/A,,"Sharurah, Najran Province, Saudi Arabia",,"Rafha Gov., Northern Borders, Saudi Arabia",,"Wadi Al-Maleh,  Deir ez-Zor Governorate, Syria",,"Central Anatolia Region, Turkey",,N/A,,"Kyiv region, Ukraine",,"Vilniaus apskritis, Lietuva",,N/A,,N/A,,"Shinile,Somali",,"Zoba Anseba, Eritrea Eritrea",,"New Valley, Egypt",,Egypt,,"Matrouh, Egypt",,N/A,,N/A,," Campodimele, Latina, Lazio, Italia",,"Lambertino, Montalcino, Siena, Toscana, Italia",
,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude
,51.61941667,-7.7675,51.31444444,-0.923416667,47.82983333,18.54913889,44.09508333,28.84644444,41.11686111,34.86441667,37.97794444,40.05911111,35.40230556,43.72663889,29.866,50.39191667,25.72522222,54.62938889,21.11202778,58.84411111,47.16977778,-1.109444444,41.91536111,9.767805556,38.10116667,16.26358333,31.34733333,25.13097222,28.69025,28.03991667,25.54236111,31.19719444,23.36883333,33.22980556,18.49561111,37.45055556,13.51597222,41.41041667,11.42213889,42.99933333
year,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index,Magnetic Intensity/µT,UV Index
2012,60.98256492,3,61.24940522,3,60.44661438,3,59.22594109,6,58.72082622,5,57.14809441,4,57.05367999,7,53.76488028,7,50.00805535,8,47.41526567,7,59.87905743,4,58.00321451,4,56.26352461,5,51.20350113,6,50.42409633,7,47.93686741,8,46.35365289,8,42.81777327,8,38.53842987,8,36.54790672,8
2013,60.95208887,4,61.21879583,5,60.41640618,5,59.19634292,5,58.69148048,4,57.11953464,6,57.02516741,6,53.73801127,7,49.98306381,7,47.39156988,8,59.84913287,4,57.9742274,5,56.23540691,5,51.17791217,7,50.39889688,7,47.91291096,8,46.33048764,8,42.79637509,8,38.51917028,8,36.5296419,8
2014,60.92162806,4,61.18820173,4,60.38621307,5,59.16675954,4,58.66214941,3,57.09098915,7,56.99666907,9,53.7111557,7,49.95808477,7,47.36788594,7,59.81922326,3,57.94525477,5,56.20730326,5,51.152336,5,50.37371003,6,47.88896648,7,46.30733398,8,42.77498759,8,38.49992032,8,36.5113862,8
2015,60.89118247,3,61.15762291,4,60.35603506,4,59.13719094,6,58.63283299,5,57.06245792,5,56.96818498,7,53.68431354,7,49.93311821,8,47.34421383,6,59.78932859,4,57.91629662,6,56.17921365,6,51.12677262,7,50.34853576,7,47.86503396,8,46.28419188,8,42.75361079,8,38.48067998,8,36.49313963,8
2016,60.86075209,3,61.12705938,5,60.32587212,4,59.10763712,5,58.60353123,3,57.03394095,4,56.93971512,7,53.6574848,8,49.90816413,8,47.32055355,7,59.75944887,5,57.88735295,5,56.15113808,5,51.10122201,6,50.32337407,6,47.8411134,7,46.26106135,8,42.73224466,8,38.46144926,8,36.47490218,8
2017,60.83033692,4,61.09651113,3,60.29572426,4,59.07809807,5,58.57424411,5,57.00543823,5,56.91125949,7,53.63066946,6,49.88322252,8,47.2969051,8,59.72958408,3,57.85842373,5,56.12307654,5,51.07568417,7,50.29822496,7,47.8172048,7,46.23794238,8,42.71088922,7,38.44222814,8,36.45667385,8
2018,60.79993696,3,61.06597814,6,60.26559146,5,59.04857379,6,58.54497162,4,56.97694975,5,56.88281808,8,53.60386753,7,49.85829337,7,47.27326847,8,59.69973421,6,57.82950898,5,56.09502903,5,51.05015909,6,50.27308842,7,47.79330814,9,46.21483496,10,42.68954445,8,38.42301664,8,36.43845462,8
2019,60.76955218,3,61.03546041,3,60.23547373,2,59.01906426,5,58.51571376,6,56.94847552,5,56.85439089,7,53.57707899,7,49.83337668,7,47.24964365,8,59.66989926,4,57.80060867,4,56.06699553,4,51.02464676,6,50.24796444,8,47.76942343,9,46.19173909,9,42.66821034,8,38.40381473,8,36.4202445,8
2020,60.73918259,4,61.00495793,4,60.20537104,3,58.98956947,5,58.48647053,3,56.92001551,6,56.8259779,7,53.55030384,7,49.80847245,7,47.22603063,7,59.64007922,4,57.77172281,5,56.03897604,6,50.99914719,5,50.22285301,6,47.74555066,8,46.16865477,8,42.6468869,8,38.38462242,8,36.40204348,8
2021,60.70882817,3,60.9744707,3,60.1752834,4,58.96008943,4,58.45724191,4,56.89156972,6,56.79757911,8,53.52354207,7,49.78358066,7,47.20242942,7,59.61027408,2,57.74285139,5,56.01097056,5,50.97366036,6,50.19775413,9,47.72168981,9,46.14558197,9,42.62557411,8,38.3654397,6,36.38385155,8
