,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16: Magnetic Intensity/µT,16: WindSpeed/KmHr,17: Magnetic Intensity/µT,17: WindSpeed/KmHr,18: Magnetic Intensity/µT,18: WindSpeed/KmHr,19: Magnetic Intensity/µT,19: WindSpeed/KmHr
Location:,N/A,,N/A,,"Sharurah, Najran Province, Saudi Arabia",,"Rafha Gov., Northern Borders, Saudi Arabia",,"Wadi Al-Maleh,  Deir ez-Zor Governorate, Syria",,"Central Anatolia Region, Turkey",,N/A,,"Kyiv region, Ukraine",,"Vilniaus apskritis, Lietuva",,N/A,,N/A,,"Shinile,Somali",,"Zoba Anseba, Eritrea Eritrea",,"New Valley, Egypt",,Egypt,,"Matrouh, Egypt",,46.35365289,15.5,42.81777327,10.125,38.53842987,21.125,36.54790672,9.5
,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,46.33048764,12.5,42.79637509,10,38.51917028,28.5,36.5296419,9.5
,51.61941667,-7.7675,51.31444444,-0.923416667,47.82983333,18.54913889,44.09508333,28.84644444,41.11686111,34.86441667,37.97794444,40.05911111,35.40230556,43.72663889,29.866,50.39191667,25.72522222,54.62938889,21.11202778,58.84411111,47.16977778,-1.109444444,41.91536111,9.767805556,38.10116667,16.26358333,31.34733333,25.13097222,28.69025,28.03991667,25.54236111,31.19719444,46.30733398,11.25,42.77498759,9.875,38.49992032,33.25,36.5113862,11
year,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,Magnetic Intensity/µT,WindSpeed/KmHr,841918812755,5,53610786504,,,,,
2012,60.98256492,20.5,61.24940522,13.25,60.44661438,11,59.22594109,12,58.72082622,5.25,57.14809441,5,57.05367999,7.125,53.76488028,9,50.00805535,16.875,47.41526567,32.625,59.87905743,12,58.00321451,9.5,56.26352461,12.125,51.20350113,14.25,50.42409633,15.5,47.93686741,19.125,46.26106135,17.125,42.73224466,9.875,38.46144926,11.625,36.47490218,8
2013,60.95208887,22.625,61.21879583,8,60.41640618,12.375,59.19634292,15.125,58.69148048,12.125,57.11953464,6,57.02516741,9.75,53.73801127,9.875,49.98306381,35.375,47.39156988,15.5,59.84913287,8.875,57.9742274,11.5,56.23540691,14.625,51.17791217,15.875,50.39889688,15.25,47.91291096,17.625,46.23794238,15.875,42.71088922,14.125,38.44222814,24.875,36.45667385,11.875
2014,60.92162806,23.5,61.18820173,18.375,60.38621307,14.125,59.16675954,11.5,58.66214941,12.75,57.09098915,8.625,56.99666907,14.75,53.7111557,7.625,49.95808477,13.875,47.36788594,20.375,59.81922326,17,57.94525477,8.875,56.20730326,3.5,51.152336,18.25,50.37371003,22.125,47.88896648,19.625,46.21483496,13.875,42.68954445,21.75,38.42301664,31.875,36.43845462,10.5
2015,60.89118247,11.625,61.15762291,17.625,60.35603506,21.375,59.13719094,18.875,58.63283299,4.125,57.06245792,11.75,56.96818498,15,53.68431354,10.5,49.93311821,8,47.34421383,26.375,59.78932859,11.75,57.91629662,7,56.17921365,24.125,51.12677262,15.375,50.34853576,11.75,47.86503396,10.125,46.19173909,11.625,42.66821034,13.5,38.40381473,34.5,36.4202445,9.625
2016,60.86075209,17.75,61.12705938,12,60.32587212,6.625,59.10763712,11.5,58.60353123,7.125,57.03394095,11.25,56.93971512,16.625,53.6574848,9.625,49.90816413,12.5,47.32055355,24,59.75944887,18.625,57.88735295,12.125,56.15113808,8.875,51.10122201,16.5,50.32337407,10.125,47.8411134,15,46.16865477,18.375,42.6468869,23.25,38.38462242,34.625,36.40204348,13.875
2017,60.83033692,25.5,61.09651113,20,60.29572426,9.875,59.07809807,9.125,58.57424411,6.125,57.00543823,5.25,56.91125949,10.875,53.63066946,10.875,49.88322252,12.875,47.2969051,23,59.72958408,20.625,57.85842373,20.125,56.12307654,14.25,51.07568417,11.875,50.29822496,14.5,47.8172048,16.75,46.14558197,10.875,42.62557411,16.125,38.3654397,10.5,36.38385155,10.25
2018,60.79993696,9.875,61.06597814,6.25,60.26559146,9.5,59.04857379,13.375,58.54497162,7.125,56.97694975,6.125,56.88281808,14,53.60386753,14.125,49.85829337,31.625,47.27326847,20.625,59.69973421,8.5,57.82950898,7.5,56.09502903,12.625,51.05015909,20.625,50.27308842,22.5,47.79330814,12.875,,,,,,,,
2019,60.76955218,8.375,61.03546041,11,60.23547373,17.625,59.01906426,24.625,58.51571376,11,56.94847552,6,56.85439089,6.75,53.57707899,8.5,49.83337668,22.875,47.24964365,24.125,59.66989926,8.625,57.80060867,8.625,56.06699553,27,51.02464676,26,50.24796444,21.125,47.76942343,9.75,,,,,,,,
2020,60.73918259,27.875,61.00495793,21.625,60.20537104,16,58.98956947,17.75,58.48647053,5.75,56.92001551,4.75,56.8259779,24.625,53.55030384,6.25,49.80847245,12.25,47.22603063,24.375,59.64007922,16.625,57.77172281,4.25,56.03897604,6.625,50.99914719,25.875,50.22285301,22.875,47.74555066,21.875,,,,,,,,
